"","timestamp","open","high","low","close","volume"
"510",2009-08-14,13.81,14.01,12.88,13.42,70032800
"511",2009-08-21,13.01,13.95,12.72,13.93,77034800
"512",2009-08-28,13.85,15.03,13.38,14.73,69372900
"513",2009-09-04,14.56,15.21,13.95,15.11,65509400
"514",2009-09-11,15.22,16.49,15.1,16.318,61052000
"515",2009-09-18,16.08,16.58,14.9682,15.22,81788800
"516",2009-09-25,15.04,15.41,14.39,14.5,58988300
"517",2009-10-02,14.55,15.21,13.74,13.85,85675700
"518",2009-10-09,14,14.25,13.49,14.17,95880500
"519",2009-10-16,13.93,14.5,12.98,13.22,107852700
"520",2009-10-23,13.33,14.03,13.07,13.15,66714500
"521",2009-10-30,13.25,13.45,11.9,11.96,77209100
"522",2009-11-06,11.94,13.43,11.56,13.16,124567900
"523",2009-11-13,13.34,13.85,12.96,13.56,84137400
"524",2009-11-20,13.68,13.91,12.65,12.9,61726200
"525",2009-11-27,13.09,13.327,12.53,12.79,38278000
"526",2009-12-04,12.84,14.32,12.7,14.26,76466600
"527",2009-12-11,15.85,16.45,15.1,15.21,132826000
"528",2009-12-18,15.43,17.48,15.26,16.82,109100000
"529",2009-12-24,16.92,18.21,16.9,18.09,44996100
"530",2009-12-31,18.06,18.95,17.62,18.68,58648900
"531",2010-01-08,18.51,18.96,18.11,18.55,80099500
"532",2010-01-15,18.65,18.73,16.88,17.11,77990700
"533",2010-01-22,16.98,17.66,16.36,16.46,73540100
"534",2010-01-29,16.73,17.06,15.15,15.39,90832000
"535",2010-02-05,15.45,16.95,15.32,16.22,93756900
"536",2010-02-12,16.17,17.7,15.873,17.35,84683100
"537",2010-02-19,17.58,17.9,16.21,16.58,83991000
"538",2010-02-26,16.65,16.9,15.76,16.2,59102100
"539",2010-03-05,16.21,17.29,16.08,17.17,67101100
"540",2010-03-12,17.18,17.78,16.85,17.25,68741900
"541",2010-03-19,17.23,18.34,17,17.25,75015900
"542",2010-03-26,17.03,17.98,17.03,17.34,55126500
"543",2010-04-01,17.45,17.85,17.04,17.22,36201600
"544",2010-04-09,17.33,17.51,16.75,16.99,97388400
"545",2010-04-16,17.01,18.13,16.68,17.06,124280200
"546",2010-04-23,16.93,17.28,16.1,16.44,101960900
"547",2010-04-30,16.46,16.8,15.7,15.71,95628400
"548",2010-05-07,15.79,15.88,13.04,13.96,146944700
"549",2010-05-14,14.8,15.29,12.6,12.96,161364600
"550",2010-05-21,12.98,13.18,12.01,12.73,113885700
"551",2010-05-28,12.69,13.5,11.85,13.14,97123000
"552",2010-06-04,12.96,13.11,12.03,12.095,60859900
"553",2010-06-11,12.15,12.23,10.87,11.61,82397700
"554",2010-06-18,11.78,12.45,11.33,12.3,76552300
"555",2010-06-25,12.56,12.59,10.9,11.08,81107700
"556",2010-07-02,11.16,11.26,9.9,10.25,78249800
"557",2010-07-09,10.21,10.71,10.05,10.35,66880500
"558",2010-07-16,10.35,11.48,10.01,10.05,122151700
"559",2010-07-23,10.19,10.83,10.1,10.36,96614600
"560",2010-07-30,10.33,10.6,8.92,9.19,158414800
"561",2010-08-06,9.35,9.65,8.87,9.55,106709200
"562",2010-08-13,9.65,9.66,8.65,9.39,129403500
"563",2010-08-20,9.26,10.21,9.03,9.97,114214000
"564",2010-08-27,10,10.25,9.48,10.12,96637400
"565",2010-09-03,10,10.08,9.3,9.899,88712700
"566",2010-09-10,9.87,10.46,9.85,10.07,85775400
"567",2010-09-17,10.25,10.77,10.245,10.55,76301600
"568",2010-09-24,10.55,12.3,10.45,12.26,138765900
"569",2010-10-01,12.35,12.36,11.26,11.35,112108800
"570",2010-10-08,11.24,11.5,10.38,10.86,100727800
"571",2010-10-15,10.91,11.5,10.63,11.2895,81393300
"572",2010-10-22,11.3,11.89,10.92,11.8,110373200
"573",2010-10-29,11.89,12.24,11.67,12.0205,77607300
"574",2010-11-05,12.1,12.72,11.94,12.605,79045900
"575",2010-11-12,12.6,13.68,12.27,13.26,124816900
"576",2010-11-19,13.24,13.8,12.58,13.752,93356800
"577",2010-11-26,13.66,13.84,13.34,13.6,36534700
"578",2010-12-03,13.54,14.79,13.36,14.79,73775600
"579",2010-12-10,14.84,15.33,14.45,14.9475,86819900
"580",2010-12-17,15.01,15.12,14.13,14.37,80336800
"581",2010-12-23,14.42,15.05,14.3,14.92,39070300
"582",2010-12-31,14.88,15.42,14.61,15.4,29829000
"583",2011-01-07,15.52,19.93,15.42,19.87,224258600
"584",2011-01-14,19.51,23.98,19.36,23.59,304596900
"585",2011-01-21,23.27,23.6,21.79,22.219,121547400
"586",2011-01-28,23.24,25.05,22.98,23.76,149265200
"587",2011-02-04,23.8,26.17,23.41,25.67,122863900
"588",2011-02-11,25.32,25.43,22.37,23.47,142249200
"589",2011-02-18,23.75,26.01,22.45,25.63,208942000
"590",2011-02-25,24.79,24.86,21.78,23.12,122750600
"591",2011-03-04,23.5,23.51,20.24,20.755,154093700
"592",2011-03-11,20.91,20.98,17.66,18.05,187371700
"593",2011-03-18,18.19,18.65,17.01,17.62,146540900
"594",2011-03-25,18,19.45,17.04,18.63,130738600
"595",2011-04-01,19.07,19.64,17.95,18.2,115038800
"596",2011-04-08,18.2,18.25,17.31,17.55,109253700
"597",2011-04-15,17.62,18.94,16.83,18.71,109024400
"598",2011-04-21,18.27,18.95,17.53,18.52,61881500
"599",2011-04-29,18.6,20.44,18.59,20,81640400
"600",2011-05-06,20.42,20.43,18.25,19.32,86156500
"601",2011-05-13,19.38,20.52,18.12,18.26,131562400
"602",2011-05-20,18.21,18.25,17.12,18.09,100852500
"603",2011-05-27,17.83,19.5311,17.6,19.5,80473600
"604",2011-06-03,19.88,20.05,18.37,18.46,77995400
"605",2011-06-10,18.39,18.6,16.74,17.12,66860300
"606",2011-06-17,17.12,17.52,15.31,15.805,113451100
"607",2011-06-24,15.67,16.3164,15.4,15.74,84375800
"608",2011-07-01,15.74,16.21,14.86,16.145,99700000
"609",2011-07-08,16.13,16.28,15.3,15.43,66763200
"610",2011-07-15,15.14,15.2,13.81,14.1,103327300
"611",2011-07-22,13.99,15.05,13.62,15,99099800
"612",2011-07-29,14.77,14.83,13.59,13.83,81081000
"613",2011-08-05,14.15,15.38,12.6,12.95,134790200
"614",2011-08-12,12.32,14.86,11.85,12.88,195716000
"615",2011-08-19,13.01,13.4,11.65,11.73,92456100
"616",2011-08-26,12.058,13.24,11.805,13.01,91532900
"617",2011-09-02,13.38,13.92,12.82,12.92,80644100
"618",2011-09-09,12.5,14.64,12.38,13.88,101321500
"619",2011-09-16,14.15,16.1,13.69,15.46,136550100
"620",2011-09-23,15.2001,15.39,13.25,13.79,120049100
